Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
TLSA	16.0	-19.0	-3.0	-13.600000000000001	0.0	-8.799999999999997	-6.0	5.0	-11.0	-1.0	6.0	-10.0	-7.0	-3.0	2.0	0.0	12.0	Line: ORST -3.0	ORST	3.0	Tulsa Golden Hurricane	
ORST	-16.0	19.0	3.0	13.600000000000001	0.0	8.799999999999997	6.0	-5.0	11.0	1.0	-6.0	10.0	7.0	3.0	-2.0	0.0	-12.0	Line: ORST -3.0	ORST	-3.0	Oregon State Beavers	
RID	10.0	-11.0	-1.0	5.399999999999999	43.199999999999996	19.5	-3.0	-4.0	1.0	4.0	-5.0	-6.0	5.0	14.0	0.0	0.0	5.0	Line: PROV -13.0	PROV	13.0	Rider Broncs	
PROV	-10.0	11.0	1.0	-5.399999999999999	-43.199999999999996	-19.5	3.0	4.0	-1.0	-4.0	5.0	6.0	-5.0	-14.0	0.0	0.0	-5.0	Line: PROV -13.0	PROV	-13.0	Providence Friars	
MILW	-19.0	-12.0	-31.0	0.7999999999999972	-19.499999999999996	-37.4	-18.0	-11.0	-7.0	-8.0	-7.0	-6.0	10.0	7.0	0.0	0.0	-34.0	Line: PUR -25.0	PUR	25.0	Milwaukee Panthers	
PUR	19.0	12.0	31.0	-0.7999999999999972	19.499999999999996	37.4	18.0	11.0	7.0	8.0	7.0	6.0	-10.0	-7.0	0.0	0.0	34.0	Line: PUR -25.0	PUR	-25.0	Purdue Boilermakers	
SHU	9.0	-2.0	7.0	0.8999999999999986	6.300000000000001	-29.300000000000004	2.0	4.0	-2.0	8.0	3.0	0.0	-3.0	1.0	0.0	0.0	4.0	Line: SHU -6.0	SHU	-6.0	Sacred Heart Pioneers	
HART	-9.0	2.0	-7.0	-0.8999999999999986	-6.300000000000001	29.300000000000004	-2.0	-4.0	2.0	-8.0	-3.0	0.0	3.0	-1.0	0.0	0.0	-4.0	Line: SHU -6.0	SHU	6.0	Hartford Hawks	
MER	9.0	-11.0	-2.0	3.3999999999999986	8.399999999999999	-5.399999999999999	-4.0	-2.0	-2.0	4.0	2.0	1.0	-3.0	1.0	0.0	0.0	10.0	Line: MER -1.0	MER	-1.0	Mercer Bears	
ECU	-9.0	11.0	2.0	-3.3999999999999986	-8.399999999999999	5.399999999999999	4.0	2.0	2.0	-4.0	-2.0	-1.0	3.0	-1.0	0.0	0.0	-10.0	Line: MER -1.0	MER	1.0	East Carolina Pirates	
MONT	-26.0	-2.0	-28.0	-25.900000000000006	-11.700000000000003	14.799999999999997	-13.0	0.0	-13.0	-7.0	-3.0	-4.0	0.0	-6.0	0.0	0.0	-40.0	Line: DUQ -3.5	DUQ	3.5	Montana Grizzlies	
DUQ	26.0	2.0	28.0	25.900000000000006	11.700000000000003	-14.799999999999997	13.0	0.0	13.0	7.0	3.0	4.0	0.0	6.0	0.0	0.0	40.0	Line: DUQ -3.5	DUQ	-3.5	Duquesne Dukes	
SCST	-3.0	0.0	-3.0	-0.30000000000000426	7.299999999999997	-3.0999999999999943	-7.0	-4.0	-3.0	5.0	2.0	1.0	-1.0	7.0	0.0	0.0	-14.0	Line: SC -26.0	SC	26.0	South Carolina State Bulldogs	
SC	3.0	0.0	3.0	0.30000000000000426	-7.299999999999997	3.0999999999999943	7.0	4.0	3.0	-5.0	-2.0	-1.0	1.0	-7.0	0.0	0.0	14.0	Line: SC -26.0	SC	-26.0	South Carolina Gamecocks	
COPP	-2.0	2.0	-10.0	-9.0	-4.699999999999996	8.299999999999997	-15.0	-6.0	-9.0	0.0	5.0	-4.0	-1.0	3.0	0.0	0.0	-5.0	Line: GTWN -18.5	GTWN	18.5	Coppin State Eagles	6.0
GTWN	2.0	-2.0	10.0	9.0	4.699999999999996	-8.299999999999997	15.0	6.0	9.0	0.0	-5.0	4.0	1.0	-3.0	0.0	0.0	5.0	Line: GTWN -18.5	GTWN	-18.5	Georgetown Hoyas	16.0
GASO	-9.0	-6.0	-15.0	-19.400000000000002	0.3999999999999986	28.599999999999994	0.0	5.0	-5.0	-6.0	1.0	-4.0	0.0	2.0	0.0	0.0	-21.0	Line: SJSU -3.5	SJSU	3.5	Georgia Southern Eagles	
SJSU	9.0	6.0	15.0	19.400000000000002	-0.3999999999999986	-28.599999999999994	0.0	-5.0	5.0	6.0	-1.0	4.0	0.0	-2.0	0.0	0.0	21.0	Line: SJSU -3.5	SJSU	-3.5	San José State Spartans	
DAV	-16.0	16.0	5.0	7.900000000000006	16.8	-12.199999999999996	-2.0	-8.0	6.0	2.0	-6.0	1.0	5.0	-8.0	0.0	0.0	-16.0	Line: DAV -4.5	DAV	-4.5	Davidson Wildcats	23.0
WRST	16.0	-16.0	-5.0	-7.900000000000006	-16.8	12.199999999999996	2.0	8.0	-6.0	-2.0	6.0	-1.0	-5.0	8.0	0.0	0.0	16.0	Line: DAV -4.5	DAV	4.5	Wright State Raiders	18.0
AMER	1.0	-5.0	-4.0	-7.600000000000001	-8.0	17.1	5.0	4.0	1.0	-4.0	-4.0	1.0	3.0	1.0	0.0	0.0	0.0	Line: MRST -1.5	MRST	1.5	American University Eagles	
MRST	-1.0	5.0	4.0	7.600000000000001	8.0	-17.1	-5.0	-4.0	-1.0	4.0	4.0	-1.0	-3.0	-1.0	0.0	0.0	0.0	Line: MRST -1.5	MRST	-1.5	Marist Red Foxes	
