"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"1","UNCW","UNC",-11,-2,-13,-16.5,5,-1.7,5,9,-4,-1,1,-5,2,6,0,0,-10,"Line: UNC -23.0","UNC",23,"UNC Wilmington Seahawks",NA,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","UNC","UNCW",11,2,13,16.5,-5,1.7,-5,-9,4,1,-1,5,-2,-6,0,0,10,"Line: UNC -23.0","UNC",-23,"North Carolina Tar Heels",NA,0,NA,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","UNF","GONZ",-30,-11,-41,-28.6,-15,-22.2,-11,2,-13,-9,-8,-1,8,-7,1,0,-40,"Line: GONZ -30.5","GONZ",30.5,"North Florida Ospreys",NA,0,NA,0,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","GONZ","UNF",30,11,41,28.6,15,22.2,11,-2,13,9,8,1,-8,7,-1,0,40,"Line: GONZ -30.5","GONZ",-30.5,"Gonzaga Bulldogs",NA,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","UNCO","HOU",-19,-28,-47,-18.8,-14.1,-11.2,-12,-11,-1,-11,-11,-3,15,-1,0,0,-47,"Line: HOU -23.5","HOU",23.5,"Northern Colorado Bears",NA,0,NA,0,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HOU","UNCO",19,28,47,18.8,14.1,11.2,12,11,1,11,11,3,-15,1,0,0,47,"Line: HOU -23.5","HOU",-23.5,"Houston Cougars",NA,1,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HOW","UK",-23,-9,-32,-20.5,-17.8,19.8,-5,3,-8,-10,-6,-4,6,7,0,0,-37,"Line: UK -25.0","UK",25,"Howard Bison",NA,0,NA,0,4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","UK","HOW",23,9,32,20.5,17.8,-19.8,5,-3,8,10,6,4,-6,-7,0,0,37,"Line: UK -25.0","UK",-25,"Kentucky Wildcats",NA,1,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MVSU","BAY",-40,-24,-64,-18.7,-18.1,-5.3,-24,-13,-11,-14,-5,-6,16,4,0,0,-65,"Line: BAY -44.5","BAY",44.5,"Mississippi Valley State Delta Devils",NA,0,NA,0,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BAY","MVSU",40,24,64,18.7,18.1,5.3,24,13,11,14,5,6,-16,-4,0,0,65,"Line: BAY -44.5","BAY",-44.5,"Baylor Bears",NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","OMA","KU",-13,-12,-25,-13.6,-17.1,25.6,-15,-8,-7,-14,-4,-4,4,-4,0,0,-26,"Line: KU -33.5","KU",33.5,"Omaha Mavericks",NA,1,NA,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","KU","OMA",13,12,25,13.6,17.1,-25.6,15,8,7,14,4,4,-4,4,0,0,26,"Line: KU -33.5","KU",-33.5,"Kansas Jayhawks",NA,0,NA,1,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JAX","DUKE",-16,-11,-27,-11.8,-21.5,36.4,-19,-9,-10,-7,-1,0,-1,6,0,0,-27,"Line: DUKE -15.0","DUKE",15,"Jacksonville Dolphins",NA,0,NA,0,7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","DUKE","JAX",16,11,27,11.8,21.5,-36.4,19,9,10,7,1,0,1,-6,0,0,27,"Line: DUKE -15.0","DUKE",-15,"Duke Blue Devils",NA,1,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","SAC","UCLA",-14,-12,-26,-18.6,-48.9,18.8,4,6,-2,-5,-10,-5,12,-2,-2,0,-23,"Line: UCLA -25.5","UCLA",25.5,"Sacramento State Hornets",NA,0,NA,0,8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","UCLA","SAC",14,12,26,18.6,48.9,-18.8,-4,-6,2,5,10,5,-12,2,2,0,23,"Line: UCLA -25.5","UCLA",-25.5,"UCLA Bruins",NA,1,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","STMN","CREI",-5,-7,-12,2,17.4,-10.7,-4,-6,2,-1,-1,-4,9,5,0,0,-14,"Line: CREI -28.0","CREI",28,"St. Thomas - Minnesota Tommies",NA,1,NA,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CREI","STMN",5,7,12,-2,-17.4,10.7,4,6,-2,1,1,4,-9,-5,0,0,14,"Line: CREI -28.0","CREI",-28,"Creighton Bluejays",NA,0,NA,1,9,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NDSU","ARK",-8,-10,-18,-15.2,-16.2,-4.39999999999999,-5,1,-6,-3,-6,-2,3,-3,-1,0,-21,"Line: ARK -22.5","ARK",22.5,"North Dakota State Bison",NA,1,NA,0,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ARK","NDSU",8,10,18,15.2,16.2,4.39999999999999,5,-1,6,3,6,2,-3,3,1,0,21,"Line: ARK -22.5","ARK",-22.5,"Arkansas Razorbacks",NA,0,NA,1,10,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","TNTC","TENN",-11,-21,-32,-7.5,-2.4,-36.8,-9,-10,1,-16,-9,-4,7,-1,0,0,-32,"Line: TENN -35.5","TENN",35.5,"Tennessee Tech Golden Eagles",NA,1,NA,0,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","TENN","TNTC",11,21,32,7.5,2.4,36.8,9,10,-1,16,9,4,-7,1,0,0,32,"Line: TENN -35.5","TENN",-35.5,"Tennessee Volunteers",NA,0,NA,1,11,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","UTEP","TEX",-13,-2,-15,-14.4,4.7,-9.2,5,7,-2,-6,-1,0,4,10,0,0,-18,"Line: TEX -21.5","TEX",21.5,"UTEP Miners",NA,1,NA,0,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","TEX","UTEP",13,2,15,14.4,-4.7,9.2,-5,-7,2,6,1,0,-4,-10,0,0,18,"Line: TEX -21.5","TEX",-21.5,"Texas Longhorns",NA,0,NA,1,12,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","MORE","IU",-12,-23,-35,-24,-6.4,22.9,-5,1,-6,-8,-5,-3,11,7,1,0,-36,"Line: IU -24.5","IU",24.5,"Morehead State Eagles",NA,0,NA,0,13,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IU","MORE",12,23,35,24,6.4,-22.9,5,-1,6,8,5,3,-11,-7,-1,0,36,"Line: IU -24.5","IU",-24.5,"Indiana Hoosiers",NA,1,NA,1,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","UAPB","TCU",11,-12,-1,2.4,25.8,-1.09999999999999,-4,-4,0,9,-1,3,2,11,1,0,15,"Line: TCU -35.0","TCU",35,"Arkansas-Pine Bluff Golden Lions",NA,1,NA,0,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","TCU","UAPB",-11,12,1,-2.4,-25.8,1.09999999999999,4,4,0,-9,1,-3,-2,-11,-1,0,-15,"Line: TCU -35.0","TCU",-35,"TCU Horned Frogs",NA,0,NA,1,14,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","GMU","AUB",-7,-11,-18,3.7,19,-24.6,-11,-12,1,-3,-11,-6,10,7,0,0,-20,"Line: AUB -10.0","AUB",10,"George Mason Patriots",NA,0,NA,0,15,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AUB","GMU",7,11,18,-3.7,-19,24.6,11,12,-1,3,11,6,-10,-7,0,0,20,"Line: AUB -10.0","AUB",-10,"Auburn Tigers",NA,1,NA,1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","LAS","VILL",-14,1,-13,-15.8,-25,-20.9,-1,5,-6,-2,2,-4,0,-3,0,0,-21,"Line: VILL -15.0","VILL",15,"La Salle Explorers",NA,1,NA,0,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
