"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"75","UMES","ODU",-7,-12,-19,-10.4,14.1,-5.59999999999999,-21,-9,-12,-2,1,-4,0,6,0,0,-16,"Line: ODU -11.0","ODU",11,"Maryland-Eastern Shore Hawks",NA,0,NA,0,38,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ODU","UMES",7,12,19,10.4,-14.1,5.59999999999999,21,9,12,2,-1,4,0,-6,0,0,16,"Line: ODU -11.0","ODU",-11,"Old Dominion Monarchs",NA,1,NA,1,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","IDHO","DEN",-5,0,-5,-9,-17.5,12.1,-6,1,-7,-3,3,-5,0,8,0,0,-7,"Line: DEN -9.5","DEN",9.5,"Idaho Vandals",NA,1,NA,0,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","DEN","IDHO",5,0,5,9,17.5,-12.1,6,-1,7,3,-3,5,0,-8,0,0,7,"Line: DEN -9.5","DEN",-9.5,"Denver Pioneers",NA,0,NA,1,39,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","WAG","TEM",-3,3,3,3.3,3,-18.5,2,3,-1,0,3,-6,-5,0,0,0,-10,"Line: TEM -16.0","TEM",16,"Wagner Seahawks",7,1,NA,0,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","TEM","WAG",3,-3,-3,-3.3,-3,18.5,-2,-3,1,0,-3,6,5,0,0,0,10,"Line: TEM -16.0","TEM",-16,"Temple Owls",4,0,NA,1,40,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","KENT","NKU",6,16,22,24.5,35.7,-35.2,-8,-10,2,11,0,1,-1,6,0,0,28,"Line: NKU -1.0","NKU",1,"Kent State Golden Flashes",NA,1,NA,0,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","NKU","KENT",-6,-16,-22,-24.5,-35.7,35.2,8,10,-2,-11,0,-1,1,-6,0,0,-28,"Line: NKU -1.0","NKU",-1,"Northern Kentucky Norse",NA,0,NA,1,41,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","MAN","VCU",-18,1,-17,8.6,2.40000000000001,6.7,-3,-10,7,0,-10,1,13,11,0,0,-19,"Line: VCU -22.5","VCU",22.5,"Manhattan Jaspers",NA,1,NA,0,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","VCU","MAN",18,-1,17,-8.6,-2.40000000000001,-6.7,3,10,-7,0,10,-1,-13,-11,0,0,19,"Line: VCU -22.5","VCU",-22.5,"VCU Rams",NA,0,NA,1,42,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","SFPA","SBU",0,-13,-13,-7.3,0,1.7,-2,-2,0,-1,-4,-2,5,0,0,0,-13,"Line: SBU -11.0","SBU",11,"St. Francis (PA) Red Flash",NA,0,NA,0,43,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","SBU","SFPA",0,13,13,7.3,0,-1.7,2,2,0,1,4,2,-5,0,0,0,13,"Line: SBU -11.0","SBU",-11,"St. Bonaventure Bonnies",NA,1,NA,1,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","QUIN","URI",3,2,5,5.2,18.2,-19.2,-3,-3,0,-4,1,0,-4,1,0,0,7,"Line: URI -9.0","URI",9,"Quinnipiac Bobcats",NA,1,NA,0,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","URI","QUIN",-3,-2,-5,-5.2,-18.2,19.2,3,3,0,4,-1,0,4,-1,0,0,-7,"Line: URI -9.0","URI",-9,"Rhode Island Rams",NA,0,NA,1,44,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","PENN","IONA",-13,-15,-28,-8.09999999999999,-20,-8,-2,-5,3,-7,-6,2,13,0,0,0,-22,"Line: IONA -6.0","IONA",6,"Pennsylvania Quakers",NA,0,NA,0,45,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","IONA","PENN",13,15,28,8.09999999999999,20,8,2,5,-3,7,6,-2,-13,0,0,0,22,"Line: IONA -6.0","IONA",-6,"Iona Gaels",NA,1,NA,1,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","BRWN","UVM",-9,-6,-15,-9.59999999999999,-10.2,-21.1,-5,1,-6,-6,1,0,1,3,0,0,-17,"Line: UVM -12.5","UVM",12.5,"Brown Bears",NA,0,NA,0,46,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","UVM","BRWN",9,6,15,9.59999999999999,10.2,21.1,5,-1,6,6,-1,0,-1,-3,0,0,17,"Line: UVM -12.5","UVM",-12.5,"Vermont Catamounts",NA,1,NA,1,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","AFA","BGSU",-6,2,-4,0.700000000000003,5.3,-13.2,-7,-5,-2,2,-3,4,1,3,0,0,-1,"Line: BGSU -3.5","BGSU",3.5,"Air Force Falcons",NA,0,NA,0,47,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","BGSU","AFA",6,-2,4,-0.700000000000003,-5.3,13.2,7,5,2,-2,3,-4,-1,-3,0,0,1,"Line: BGSU -3.5","BGSU",-3.5,"Bowling Green Falcons",NA,1,NA,1,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","MRSH","QUOC",-5,4,-1,-3.5,-6.8,8.3,-11,-2,-9,4,7,5,-9,3,0,0,6,"Line: MRSH -4.5","MRSH",-4.5,"Marshall Thundering Herd",NA,0,NA,1,48,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","QUOC","MRSH",5,-4,1,3.5,6.8,-8.3,11,2,9,-4,-7,-5,9,-3,0,0,-6,"Line: MRSH -4.5","MRSH",4.5,"Queens University Royals",NA,1,NA,0,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","VMI","RICH",-7,-14,-21,-20.1,-3.8,9.09999999999999,-5,6,-11,-7,-3,-4,2,8,-1,0,-22,"Line: RICH -22.5","RICH",22.5,"VMI Keydets",NA,1,NA,0,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","RICH","VMI",7,14,21,20.1,3.8,-9.09999999999999,5,-6,11,7,3,4,-2,-8,1,0,22,"Line: RICH -22.5","RICH",-22.5,"Richmond Spiders",NA,0,NA,1,49,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","NAU","MSU",-14,-4,-18,-12.9,-6.6,-5.8,-9,-1,-8,-4,-1,-4,3,-3,0,0,-21,"Line: MSU -21.0","MSU",21,"Northern Arizona Lumberjacks",NA,1,NA,0,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","MSU","NAU",14,4,18,12.9,6.6,5.8,9,1,8,4,1,4,-3,3,0,0,21,"Line: MSU -21.0","MSU",-21,"Michigan State Spartans",NA,0,NA,1,50,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","TAR","ASU",-3,0,-3,0.600000000000001,-10.7,11.1,-15,-11,-4,0,4,-7,-4,0,1,0,8,"Line: ASU -14.5","ASU",14.5,"Tarleton Texans",NA,1,NA,0,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","ASU","TAR",3,0,3,-0.600000000000001,10.7,-11.1,15,11,4,0,-4,7,4,0,-1,0,-8,"Line: ASU -14.5","ASU",-14.5,"Arizona State Sun Devils",NA,0,NA,1,51,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
